===========================================
Starting tracing

PrimaryAuthManager Version: ...SF. (Release)

Platform: Linux

Time now: Mon 20 Nov 2023 16:20:07 UTC

Local time now: Mon 20 Nov 2023 16:20:07

Module: /opt/Citrix/ICAClient/PrimaryAuthManager

Module start time: Mon 20 Nov 2023 16:20:07 UTC

Module start local time: Mon 20 Nov 2023 16:20:07

===========================================
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   CFormsSubProtocol::CertAuthHttpWrapper::SendAndReceive
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   .   virtual const wstring AM::CLinuxSSLContext::GetDebugState() const
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   .   CLinuxHttpTransaction::SetSSLContext: Server: 'https://office.rku-it.de/' State: 'ClientCertificate_Unset' Certificate: '(none)'
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   CHttpTransactionBase::SendAndReceive
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   {
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   .   virtual std::__cxx11::wstring AM::Networking::CWrappedComCookieJar::GetCookieHeaderValue(const AM::Networking::CXUrl&)
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   .   virtual void AM::Networking::CLinuxHttpTransaction::CheckedSendAndReceive()
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   .   {
Mon 20 Nov 2023 16:20:12       T:1FD7C780 main   .   .   .   .   .   .   .   CheckedSendAndReceive client cert none
Mon 20 Nov 2023 16:20:12       T:1FD7C780 main   .   .   .   .   .   .   .   HTTP status from curl: 200
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   .   .   .   .   void AM::Networking::CLinuxHttpTransaction::parseHeaders(const wchar_t*)
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   .   .   .   .   {
Mon 20 Nov 2023 16:20:12       T:1FD7C780 main   .   .   .   .   .   .   .   .   Parsed status from curl is 200
Mon 20 Nov 2023 16:20:12     < T:1FD7C780 main   .   .   .   .   .   .   .   }
Mon 20 Nov 2023 16:20:12       T:1FD7C780 main   .   .   .   .   .   .   .   Got cert chain for new connection
Mon 20 Nov 2023 16:20:12     < T:1FD7C780 main   .   .   .   .   .   .   }
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   .   .   .   virtual AM::ICertificate::Cptr AM::Networking::CLinuxHttpTransaction::GetServerCertificateDerived()
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   .   .   .   {
Mon 20 Nov 2023 16:20:12     < T:1FD7C780 main   .   .   .   .   .   .   }
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   .   .   .   virtual void AM::Networking::CWrappedComCookieJar::AddCookiesFromSetCookieHeaderValues(const AM::Networking::CXUrl&, const std::vector<std::__cxx11::basic_string<wchar_t> >&)
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   .   .   .   {
Mon 20 Nov 2023 16:20:12     < T:1FD7C780 main   .   .   .   .   .   .   }
Mon 20 Nov 2023 16:20:12     < T:1FD7C780 main   .   .   .   .   .   }
Mon 20 Nov 2023 16:20:12     < T:1FD7C780 main   .   .   .   .   }
Mon 20 Nov 2023 16:20:12     < T:1FD7C780 main   .   .   .   }
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   CFormsSubProtocol::ProcessServerResponse
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   .   CFormsSubProtocol::RecordServerCertificateInformation
Mon 20 Nov 2023 16:20:12     > T:1FD7C780 main   .   .   .   .   {
